Feature,CorrelationCoefficient,Day
całkowity przepływ pary,-0.2125,d2
całkowity przepływ pary,0.5067,d3
całkowity przepływ pary,0.5392,d5
całkowity przepływ pary,,d6
ciśnienie pary,-0.2592,d2
ciśnienie pary,0.3916,d3
ciśnienie pary,0.2348,d5
ciśnienie pary,,d6
ciśnienie pary w walczaku,-0.2371,d2
ciśnienie pary w walczaku,0.4469,d3
ciśnienie pary w walczaku,0.3269,d5
ciśnienie pary w walczaku,,d6
ciśnienie pary wtórnej,-0.2516,d2
ciśnienie pary wtórnej,-0.5427,d3
ciśnienie pary wtórnej,0.5478,d5
ciśnienie pary wtórnej,,d6
ciśnienie wody wtryskowej do pary wtórnej,-0.2305,d2
ciśnienie wody wtryskowej do pary wtórnej,0.6787,d3
ciśnienie wody wtryskowej do pary wtórnej,0.3254,d5
ciśnienie wody wtryskowej do pary wtórnej,,d6
ciśnienie wody wtryskowej do pary świeżej,-0.1791,d2
ciśnienie wody wtryskowej do pary świeżej,0.4855,d3
ciśnienie wody wtryskowej do pary świeżej,0.3572,d5
ciśnienie wody wtryskowej do pary świeżej,,d6
klapy wentlatora ciagu spalin - strona B,,d2
klapy wentlatora ciagu spalin - strona B,,d3
klapy wentlatora ciagu spalin - strona B,,d5
klapy wentlatora ciagu spalin - strona B,,d6
klapy wentlatora ciągu spalin - strona A,,d2
klapy wentlatora ciągu spalin - strona A,,d3
klapy wentlatora ciągu spalin - strona A,,d5
klapy wentlatora ciągu spalin - strona A,,d6
klapy wentlatora podmuchu - strona A,0.3043,d2
klapy wentlatora podmuchu - strona A,,d3
klapy wentlatora podmuchu - strona A,0.8069,d5
klapy wentlatora podmuchu - strona A,,d6
klapy wentlatora podmuchu - strona B,,d2
klapy wentlatora podmuchu - strona B,,d3
klapy wentlatora podmuchu - strona B,0.8069,d5
klapy wentlatora podmuchu - strona B,,d6
kąt wychylenia palnika róg #1,,d2
kąt wychylenia palnika róg #1,-0.5238,d3
kąt wychylenia palnika róg #1,0.8020,d5
kąt wychylenia palnika róg #1,,d6
kąt wychylenia palnika róg #2,,d2
kąt wychylenia palnika róg #2,-0.5448,d3
kąt wychylenia palnika róg #2,0.8782,d5
kąt wychylenia palnika róg #2,,d6
kąt wychylenia palnika róg #3,,d2
kąt wychylenia palnika róg #3,,d3
kąt wychylenia palnika róg #3,,d5
kąt wychylenia palnika róg #3,,d6
kąt wychylenia palnika róg #4,,d2
kąt wychylenia palnika róg #4,-0.5232,d3
kąt wychylenia palnika róg #4,,d5
kąt wychylenia palnika róg #4,,d6
podciśnienie w komorze spalania,0.3320,d2
podciśnienie w komorze spalania,0.1253,d3
podciśnienie w komorze spalania,0.4497,d5
podciśnienie w komorze spalania,,d6
poziom wody w walczaku,0.0830,d2
poziom wody w walczaku,-0.0431,d3
poziom wody w walczaku,-0.0337,d5
poziom wody w walczaku,,d6
przepływ powietrza pierwotnego,-0.3411,d2
przepływ powietrza pierwotnego,-0.0781,d3
przepływ powietrza pierwotnego,0.4649,d5
przepływ powietrza pierwotnego,,d6
przepływ powietrza wtórnego - strona A,0.1079,d2
przepływ powietrza wtórnego - strona A,-0.1763,d3
przepływ powietrza wtórnego - strona A,0.1567,d5
przepływ powietrza wtórnego - strona A,,d6
przepływ powietrza wtórnego - strona B,0.0159,d2
przepływ powietrza wtórnego - strona B,-0.1380,d3
przepływ powietrza wtórnego - strona B,0.1293,d5
przepływ powietrza wtórnego - strona B,,d6
przepływ wody wtryskowej (para świeża) - stopień I,-0.3829,d2
przepływ wody wtryskowej (para świeża) - stopień I,0.0377,d3
przepływ wody wtryskowej (para świeża) - stopień I,0.1518,d5
przepływ wody wtryskowej (para świeża) - stopień I,,d6
przepływ wody wtryskowej (para świeża) - stopień II,-0.2534,d2
przepływ wody wtryskowej (para świeża) - stopień II,0.1813,d3
przepływ wody wtryskowej (para świeża) - stopień II,-0.0204,d5
przepływ wody wtryskowej (para świeża) - stopień II,,d6
przepływ wody wtryskowej - strona L,0.3253,d2
przepływ wody wtryskowej - strona L,-0.6597,d3
przepływ wody wtryskowej - strona L,0.4199,d5
przepływ wody wtryskowej - strona L,,d6
przepływ wody wtryskowej - strona R,-0.0712,d2
przepływ wody wtryskowej - strona R,-0.7477,d3
przepływ wody wtryskowej - strona R,0.3045,d5
przepływ wody wtryskowej - strona R,,d6
przepływ wody zasilającej,0.1903,d2
przepływ wody zasilającej,0.5482,d3
przepływ wody zasilającej,0.4524,d5
przepływ wody zasilającej,,d6
przepływ węgla do młyna A,,d2
przepływ węgla do młyna A,,d3
przepływ węgla do młyna A,0.5078,d5
przepływ węgla do młyna A,,d6
przepływ węgla do młyna B,0.0360,d2
przepływ węgla do młyna B,-0.8376,d3
przepływ węgla do młyna B,0.4060,d5
przepływ węgla do młyna B,,d6
przepływ węgla do młyna C,0.1422,d2
przepływ węgla do młyna C,-0.2550,d3
przepływ węgla do młyna C,0.4146,d5
przepływ węgla do młyna C,,d6
przepływ węgla do młyna D,0.1636,d2
przepływ węgla do młyna D,-0.3917,d3
przepływ węgla do młyna D,0.3313,d5
przepływ węgla do młyna D,,d6
przepływ węgla do młyna E,0.0316,d2
przepływ węgla do młyna E,-0.2469,d3
przepływ węgla do młyna E,0.5681,d5
przepływ węgla do młyna E,,d6
przepływ węgla do młyna F,,d2
przepływ węgla do młyna F,,d5
przepływ węgla do młyna F,,d6
róznica cisnień skrzynka palnikowa - komora spalania,-0.1335,d2
róznica cisnień skrzynka palnikowa - komora spalania,0.0196,d3
róznica cisnień skrzynka palnikowa - komora spalania,-0.1052,d5
róznica cisnień skrzynka palnikowa - komora spalania,,d6
temperatura mieszanki za młynem A,,d2
temperatura mieszanki za młynem A,0.6812,d3
temperatura mieszanki za młynem A,,d6
temperatura mieszanki za młynem B,0.1266,d2
temperatura mieszanki za młynem B,0.1877,d3
temperatura mieszanki za młynem B,0.2538,d5
temperatura mieszanki za młynem B,,d6
temperatura mieszanki za młynem C,-0.2340,d2
temperatura mieszanki za młynem C,0.1380,d3
temperatura mieszanki za młynem C,-0.4872,d5
