Feature,CorrelationCoefficient,Day
całkowity przepływ pary,,d2
całkowity przepływ pary,0.5740,d3
całkowity przepływ pary,0.2457,d5
całkowity przepływ pary,0.8191,d6
ciśnienie pary,,d2
ciśnienie pary,0.4342,d3
ciśnienie pary,-0.0265,d5
ciśnienie pary,0.2499,d6
ciśnienie pary w walczaku,,d2
ciśnienie pary w walczaku,0.4908,d3
ciśnienie pary w walczaku,0.0343,d5
ciśnienie pary w walczaku,0.7796,d6
ciśnienie pary wtórnej,,d2
ciśnienie pary wtórnej,-0.5408,d3
ciśnienie pary wtórnej,0.2418,d5
ciśnienie pary wtórnej,0.8244,d6
ciśnienie wody wtryskowej do pary wtórnej,,d2
ciśnienie wody wtryskowej do pary wtórnej,0.7254,d3
ciśnienie wody wtryskowej do pary wtórnej,0.0282,d5
ciśnienie wody wtryskowej do pary wtórnej,0.8277,d6
ciśnienie wody wtryskowej do pary świeżej,,d2
ciśnienie wody wtryskowej do pary świeżej,0.5294,d3
ciśnienie wody wtryskowej do pary świeżej,0.0557,d5
ciśnienie wody wtryskowej do pary świeżej,0.8367,d6
klapy wentlatora ciagu spalin - strona B,,d2
klapy wentlatora ciagu spalin - strona B,,d3
klapy wentlatora ciagu spalin - strona B,,d5
klapy wentlatora ciagu spalin - strona B,,d6
klapy wentlatora ciągu spalin - strona A,,d2
klapy wentlatora ciągu spalin - strona A,,d3
klapy wentlatora ciągu spalin - strona A,,d5
klapy wentlatora ciągu spalin - strona A,,d6
klapy wentlatora podmuchu - strona A,,d2
klapy wentlatora podmuchu - strona A,,d3
klapy wentlatora podmuchu - strona A,0.5114,d5
klapy wentlatora podmuchu - strona A,0.7890,d6
klapy wentlatora podmuchu - strona B,,d2
klapy wentlatora podmuchu - strona B,,d3
klapy wentlatora podmuchu - strona B,0.5114,d5
klapy wentlatora podmuchu - strona B,0.8131,d6
kąt wychylenia palnika róg #1,,d2
kąt wychylenia palnika róg #1,-0.5638,d3
kąt wychylenia palnika róg #1,0.4959,d5
kąt wychylenia palnika róg #1,,d6
kąt wychylenia palnika róg #2,,d2
kąt wychylenia palnika róg #2,-0.5864,d3
kąt wychylenia palnika róg #2,0.6429,d5
kąt wychylenia palnika róg #2,,d6
kąt wychylenia palnika róg #3,,d2
kąt wychylenia palnika róg #3,,d3
kąt wychylenia palnika róg #3,,d5
kąt wychylenia palnika róg #3,,d6
kąt wychylenia palnika róg #4,,d2
kąt wychylenia palnika róg #4,-0.5631,d3
kąt wychylenia palnika róg #4,,d5
kąt wychylenia palnika róg #4,,d6
podciśnienie w komorze spalania,,d2
podciśnienie w komorze spalania,0.1989,d3
podciśnienie w komorze spalania,0.3563,d5
podciśnienie w komorze spalania,0.5998,d6
poziom wody w walczaku,,d2
poziom wody w walczaku,-0.0480,d3
poziom wody w walczaku,0.0512,d5
poziom wody w walczaku,-0.6232,d6
przepływ powietrza pierwotnego,,d2
przepływ powietrza pierwotnego,-0.0772,d3
przepływ powietrza pierwotnego,0.1116,d5
przepływ powietrza pierwotnego,0.8557,d6
przepływ powietrza wtórnego - strona A,,d2
przepływ powietrza wtórnego - strona A,-0.2244,d3
przepływ powietrza wtórnego - strona A,0.1625,d5
przepływ powietrza wtórnego - strona A,0.7543,d6
przepływ powietrza wtórnego - strona B,,d2
przepływ powietrza wtórnego - strona B,-0.1511,d3
przepływ powietrza wtórnego - strona B,0.1110,d5
przepływ powietrza wtórnego - strona B,0.6612,d6
przepływ wody wtryskowej (para świeża) - stopień I,,d2
przepływ wody wtryskowej (para świeża) - stopień I,0.0406,d3
przepływ wody wtryskowej (para świeża) - stopień I,0.2166,d5
przepływ wody wtryskowej (para świeża) - stopień I,-0.4488,d6
przepływ wody wtryskowej (para świeża) - stopień II,,d2
przepływ wody wtryskowej (para świeża) - stopień II,0.2027,d3
przepływ wody wtryskowej (para świeża) - stopień II,0.1209,d5
przepływ wody wtryskowej (para świeża) - stopień II,-0.3934,d6
przepływ wody wtryskowej - strona L,,d2
przepływ wody wtryskowej - strona L,-0.6959,d3
przepływ wody wtryskowej - strona L,0.2499,d5
przepływ wody wtryskowej - strona L,0.8507,d6
przepływ wody wtryskowej - strona R,,d2
przepływ wody wtryskowej - strona R,-0.7868,d3
przepływ wody wtryskowej - strona R,0.2001,d5
przepływ wody wtryskowej - strona R,0.6079,d6
przepływ wody zasilającej,,d2
przepływ wody zasilającej,0.5843,d3
przepływ wody zasilającej,0.1618,d5
przepływ wody zasilającej,0.8473,d6
przepływ węgla do młyna A,,d2
przepływ węgla do młyna A,,d3
